"municipio","ano","homicidio_doloso","furto","roubo","furto_roubo_veiculos"
"Adamantina",2001,4,268,17,2
"Adamantina",2002,1,319,4,0
"Adamantina",2003,1,277,7,4
"Adamantina",2004,4,420,5,3
"Adamantina",2005,0,376,13,6
"Adamantina",2006,1,294,7,14
"Adamantina",2007,0,327,11,8
"Adamantina",2008,1,397,5,5
"Adamantina",2009,1,286,19,2
"Adamantina",2010,1,227,11,5
"Adamantina",2011,0,245,11,10
"Adamantina",2012,0,245,6,12
"Adamantina",2013,0,272,13,7
"Adamantina",2014,1,258,5,9
"Adamantina",2015,0,245,3,19
"Adolfo",2001,0,19,0,1
"Adolfo",2002,0,29,0,2
"Adolfo",2003,0,29,1,0
"Adolfo",2004,0,14,0,0
"Adolfo",2005,0,45,0,1
"Adolfo",2006,0,52,0,1
"Adolfo",2007,1,38,2,1
"Adolfo",2008,0,54,1,1
"Adolfo",2009,0,64,0,1
"Adolfo",2010,1,42,1,2
"Adolfo",2011,0,28,1,2
"Adolfo",2012,0,38,1,1
"Adolfo",2013,0,44,0,3
"Adolfo",2014,0,37,2,1
"Adolfo",2015,0,43,5,0
"Aguaí",2001,4,582,90,74
"Aguaí",2002,1,473,54,88
"Aguaí",2003,3,362,38,37
"Aguaí",2004,3,140,22,29
"Aguaí",2005,3,332,34,22
"Aguaí",2006,3,680,59,34
"Aguaí",2007,5,666,37,23
"Aguaí",2008,2,531,40,27
"Aguaí",2009,3,538,47,40
"Aguaí",2010,1,545,44,39
"Aguaí",2011,4,438,70,49
"Aguaí",2012,6,445,52,35
"Aguaí",2013,2,375,50,66
"Aguaí",2014,2,434,63,62
"Aguaí",2015,5,366,55,59
"Águas da Prata",2001,0,49,2,1
"Águas da Prata",2002,0,33,1,5
"Águas da Prata",2003,1,43,3,11
"Águas da Prata",2004,0,38,2,5
"Águas da Prata",2005,0,29,0,2
"Águas da Prata",2006,1,42,2,1
"Águas da Prata",2007,0,35,8,1
"Águas da Prata",2008,0,57,3,2
"Águas da Prata",2009,0,36,3,2
"Águas da Prata",2010,2,34,2,1
"Águas da Prata",2011,1,36,1,4
"Águas da Prata",2012,1,60,2,0
"Águas da Prata",2013,0,32,1,0
"Águas da Prata",2014,1,40,2,6
"Águas da Prata",2015,1,64,2,5
"Águas de Lindóia",2001,2,290,29,25
"Águas de Lindóia",2002,1,218,22,32
"Águas de Lindóia",2003,3,266,18,27
"Águas de Lindóia",2004,0,208,16,27
"Águas de Lindóia",2005,1,194,29,34
"Águas de Lindóia",2006,1,287,34,32
"Águas de Lindóia",2007,1,231,28,32
"Águas de Lindóia",2008,1,180,40,25
"Águas de Lindóia",2009,0,191,35,35
"Águas de Lindóia",2010,0,172,34,44
"Águas de Lindóia",2011,3,192,41,45
"Águas de Lindóia",2012,3,248,27,43
"Águas de Lindóia",2013,0,174,27,46
"Águas de Lindóia",2014,2,191,26,41
"Águas de Lindóia",2015,1,105,21,33
"Águas de Santa Bárbara",2001,0,43,9,4
"Águas de Santa Bárbara",2002,1,23,0,2
"Águas de Santa Bárbara",2003,2,38,5,1
"Águas de Santa Bárbara",2004,0,40,1,3
"Águas de Santa Bárbara",2005,0,58,5,2
"Águas de Santa Bárbara",2006,0,43,3,2
"Águas de Santa Bárbara",2007,0,23,0,3
"Águas de Santa Bárbara",2008,0,26,2,2
"Águas de Santa Bárbara",2009,0,31,0,3
"Águas de Santa Bárbara",2010,0,35,0,3
"Águas de Santa Bárbara",2011,0,35,2,3
"Águas de Santa Bárbara",2012,0,41,3,1
"Águas de Santa Bárbara",2013,1,39,3,2
"Águas de Santa Bárbara",2014,0,36,3,6
"Águas de Santa Bárbara",2015,1,33,7,3
"Águas de São Pedro",2001,0,52,4,11
"Águas de São Pedro",2002,0,48,4,4
"Águas de São Pedro",2003,0,47,6,6
"Águas de São Pedro",2004,0,68,4,6
"Águas de São Pedro",2005,0,61,3,3
"Águas de São Pedro",2006,0,72,2,7
"Águas de São Pedro",2007,0,73,4,1
"Águas de São Pedro",2008,0,65,5,2
"Águas de São Pedro",2009,0,55,9,4
"Águas de São Pedro",2010,0,40,3,2
"Águas de São Pedro",2011,0,46,3,1
"Águas de São Pedro",2012,0,65,6,7
"Águas de São Pedro",2013,0,41,7,5
"Águas de São Pedro",2014,0,40,4,6
"Águas de São Pedro",2015,0,39,2,2
"Agudos",2001,3,603,40,38
"Agudos",2002,5,474,63,30
"Agudos",2003,6,573,75,25
"Agudos",2004,6,393,59,17
"Agudos",2005,2,341,49,37
"Agudos",2006,4,339,87,27
"Agudos",2007,1,411,49,25
"Agudos",2008,1,393,73,18
"Agudos",2009,3,372,67,25
"Agudos",2010,3,260,79,22
"Agudos",2011,3,319,51,34
"Agudos",2012,4,307,47,42
"Agudos",2013,2,274,43,27
"Agudos",2014,3,388,61,38
"Agudos",2015,1,353,75,31
"Alambari",2001,0,27,6,5
"Alambari",2002,1,24,3,3
"Alambari",2003,0,34,4,4
"Alambari",2004,1,35,1,1
"Alambari",2005,0,38,3,3
"Alambari",2006,1,53,7,1
"Alambari",2007,0,50,5,1
"Alambari",2008,0,30,1,4
"Alambari",2009,0,36,5,1
"Alambari",2010,0,45,9,8
"Alambari",2011,0,41,6,0
"Alambari",2012,0,26,3,3
"Alambari",2013,0,28,6,2
"Alambari",2014,1,29,7,6
"Alambari",2015,0,32,2,1
"Alfredo Marcondes",2001,0,9,0,0
"Alfredo Marcondes",2002,0,9,0,0
"Alfredo Marcondes",2003,0,7,0,0
"Alfredo Marcondes",2004,0,9,0,0
"Alfredo Marcondes",2005,0,9,0,0
"Alfredo Marcondes",2006,0,11,0,0
"Alfredo Marcondes",2007,1,12,1,0
"Alfredo Marcondes",2008,0,16,0,0
"Alfredo Marcondes",2009,1,36,0,0
"Alfredo Marcondes",2010,0,9,0,0
"Alfredo Marcondes",2011,0,8,0,0
"Alfredo Marcondes",2012,0,19,0,1
"Alfredo Marcondes",2013,1,16,0,0
"Alfredo Marcondes",2014,0,26,0,2
"Alfredo Marcondes",2015,0,15,0,0
"Altair",2001,0,24,0,1
"Altair",2002,0,21,1,2
"Altair",2003,0,33,2,2
"Altair",2004,0,42,2,1
"Altair",2005,0,26,0,0
"Altair",2006,0,29,0,0
"Altair",2007,0,26,1,1
"Altair",2008,0,28,1,3
"Altair",2009,1,21,0,1
"Altair",2010,1,12,0,1
"Altair",2011,1,20,0,2
"Altair",2012,0,14,1,1
"Altair",2013,0,35,1,0
"Altair",2014,0,17,1,5
"Altair",2015,0,24,2,1
"Altinópolis",2001,1,160,8,15
"Altinópolis",2002,0,159,9,12
"Altinópolis",2003,0,146,4,7
"Altinópolis",2004,2,135,9,7
"Altinópolis",2005,0,162,8,8
"Altinópolis",2006,1,123,8,9
"Altinópolis",2007,0,141,3,15
"Altinópolis",2008,1,141,4,18
"Altinópolis",2009,0,125,8,19
"Altinópolis",2010,2,162,13,19
"Altinópolis",2011,0,170,11,9
"Altinópolis",2012,1,163,6,14
"Altinópolis",2013,0,129,8,14
"Altinópolis",2014,2,136,7,20
"Altinópolis",2015,0,178,22,10
"Alto Alegre",2001,0,30,0,1
"Alto Alegre",2002,1,46,0,2
"Alto Alegre",2003,0,50,1,2
"Alto Alegre",2004,0,33,2,2
"Alto Alegre",2005,0,44,0,4
"Alto Alegre",2006,0,60,1,0
"Alto Alegre",2007,0,36,1,0
"Alto Alegre",2008,1,29,3,1
"Alto Alegre",2009,1,19,1,3
"Alto Alegre",2010,0,15,3,2
"Alto Alegre",2011,0,11,3,0
"Alto Alegre",2012,0,11,2,0
"Alto Alegre",2013,0,17,0,1
"Alto Alegre",2014,0,26,1,0
"Alto Alegre",2015,1,23,0,1
"Alumínio",2001,4,163,19,16
"Alumínio",2002,1,149,27,22
"Alumínio",2003,3,205,21,10
"Alumínio",2004,5,217,27,24
"Alumínio",2005,4,174,34,20
"Alumínio",2006,1,235,21,19
"Alumínio",2007,2,219,32,16
"Alumínio",2008,1,147,20,21
"Alumínio",2009,3,128,19,25
"Alumínio",2010,0,115,15,20
"Alumínio",2011,2,128,13,33
"Alumínio",2012,1,114,14,45
"Alumínio",2013,0,108,16,23
"Alumínio",2014,2,138,12,23
"Alumínio",2015,0,117,13,26
"Álvares Florence",2001,0,21,0,0
"Álvares Florence",2002,0,9,2,0
"Álvares Florence",2003,0,15,0,0
"Álvares Florence",2004,1,16,1,3
"Álvares Florence",2005,0,35,0,0
"Álvares Florence",2006,0,36,0,4
"Álvares Florence",2007,1,42,1,2
"Álvares Florence",2008,0,28,0,1
"Álvares Florence",2009,1,44,2,0
"Álvares Florence",2010,0,43,1,0
"Álvares Florence",2011,1,37,1,1
"Álvares Florence",2012,0,26,0,0
"Álvares Florence",2013,0,31,0,0
"Álvares Florence",2014,0,34,2,0
"Álvares Florence",2015,0,53,1,3
"Álvares Machado",2001,3,148,14,6
