uf,cod_uf,cod_mun,municipio,pop
RO,11,00015,Alta Floresta D'Oeste,25578
RO,11,00379,Alto Alegre dos Parecis,13940
RO,11,00403,Alto Paraíso,20210
RO,11,00346,Alvorada D'Oeste,17063
RO,11,00023,Ariquemes,104401
RO,11,00452,Buritis,37838
RO,11,00031,Cabixi,6355
RO,11,00601,Cacaulândia,6367
RO,11,00049,Cacoal,87226
RO,11,00700,Campo Novo de Rondônia,14220
RO,11,00809,Candeias do Jamari,24155
RO,11,00908,Castanheiras,3617
RO,11,00056,Cerejeiras,17986
RO,11,00924,Chupinguaia,10129
RO,11,00064,Colorado do Oeste,18817
RO,11,00072,Corumbiara,8842
RO,11,00080,Costa Marques,16651
RO,11,00940,Cujubim,20974
RO,11,00098,Espigão D'Oeste,32385
RO,11,01005,Governador Jorge Teixeira,10127
RO,11,00106,Guajará-Mirim,46632
RO,11,01104,Itapuã do Oeste,9995
RO,11,00114,Jaru,55738
RO,11,00122,Ji-Paraná,130419
RO,11,00130,Machadinho D'Oeste,37167
RO,11,01203,Ministro Andreazza,10823
RO,11,01302,Mirante da Serra,12360
RO,11,01401,Monte Negro,15873
RO,11,00148,Nova Brasilândia D'Oeste,21592
RO,11,00338,Nova Mamoré,27600
RO,11,01435,Nova União,7824
RO,11,00502,Novo Horizonte do Oeste,10276
RO,11,00155,Ouro Preto do Oeste,39924
RO,11,01450,Parecis,5697
RO,11,00189,Pimenta Bueno,37512
RO,11,01468,Pimenteiras do Oeste,2424
RO,11,00205,Porto Velho,502748
RO,11,00254,Presidente Médici,22557
RO,11,01476,Primavera de Rondônia,3501
RO,11,00262,Rio Crespo,3750
RO,11,00288,Rolim de Moura,56242
RO,11,00296,Santa Luzia D'Oeste,8532
RO,11,01484,São Felipe D'Oeste,6103
RO,11,01492,São Francisco do Guaporé,19002
RO,11,00320,São Miguel do Guaporé,23933
RO,11,01500,Seringueiras,12581
RO,11,01559,Teixeirópolis,5003
RO,11,01609,Theobroma,11347
RO,11,01708,Urupá,13293
RO,11,01757,Vale do Anari,10843
RO,11,01807,Vale do Paraíso,8231
RO,11,00304,Vilhena,91801
AC,12,00013,Acrelândia,13869
AC,12,00054,Assis Brasil,6738
AC,12,00104,Brasiléia,23849
AC,12,00138,Bujari,9339
AC,12,00179,Capixaba,10498
AC,12,00203,Cruzeiro do Sul,81519
AC,12,00252,Epitaciolândia,16731
AC,12,00302,Feijó,32385
AC,12,00328,Jordão,7509
AC,12,00336,Mâncio Lima,17173
AC,12,00344,Manoel Urbano,8641
AC,12,00351,Marechal Thaumaturgo,16895
AC,12,00385,Plácido de Castro,18159
AC,12,00807,Porto Acre,16757
AC,12,00393,Porto Walter,10759
AC,12,00401,Rio Branco,370550
AC,12,00427,Rodrigues Alves,16974
AC,12,00435,Santa Rosa do Purus,5809
AC,12,00500,Sena Madureira,41750
AC,12,00450,Senador Guiomard,21182
AC,12,00609,Tarauacá,38819
AC,12,00708,Xapuri,17608
AM,13,00029,Alvarães,15545
AM,13,00060,Amaturá,10847
AM,13,00086,Anamã,12320
AM,13,00102,Anori,19292
AM,13,00144,Apuí,20648
AM,13,00201,Atalaia do Norte,18133
AM,13,00300,Autazes,37033
AM,13,00409,Barcelos,27433
AM,13,00508,Barreirinha,30658
AM,13,00607,Benjamin Constant,39484
AM,13,00631,Beruri,18171
AM,13,00680,Boa Vista do Ramos,17668
AM,13,00706,Boca do Acre,33498
AM,13,00805,Borba,39292
AM,13,00839,Caapiranga,12420
AM,13,00904,Canutama,15130
AM,13,01001,Carauari,27880
AM,13,01100,Careiro,36435
AM,13,01159,Careiro da Várzea,27981
AM,13,01209,Coari,83078
AM,13,01308,Codajás,26777
AM,13,01407,Eirunepé,34025
AM,13,01506,Envira,18786
AM,13,01605,Fonte Boa,20742
AM,13,01654,Guajará,15826
AM,13,01704,Humaitá,51302
AM,13,01803,Ipixuna,26860
AM,13,01852,Iranduba,45984
AM,13,01902,Itacoatiara,97122
AM,13,01951,Itamarati,8179
AM,13,02009,Itapiranga,8953
AM,13,02108,Japurá,5125
AM,13,02207,Juruá,13198
AM,13,02306,Jutaí,16585
AM,13,02405,Lábrea,43263
AM,13,02504,Manacapuru,94175
AM,13,02553,Manaquiri,28413
AM,13,02603,Manaus,2057711
AM,13,02702,Manicoré,53053
AM,13,02801,Maraã,18423
AM,13,02900,Maués,59983
AM,13,03007,Nhamundá,20358
AM,13,03106,Nova Olinda do Norte,35156
AM,13,03205,Novo Airão,17671
AM,13,03304,Novo Aripuanã,24315
AM,13,03403,Parintins,111575
AM,13,03502,Pauini,19378
AM,13,03536,Presidente Figueiredo,32812
AM,13,03569,Rio Preto da Eva,30530
AM,13,03601,Santa Isabel do Rio Negro,22404
AM,13,03700,Santo Antônio do Içá,23688
AM,13,03809,São Gabriel da Cachoeira,43094
AM,13,03908,São Paulo de Olivença,36536
AM,13,03957,São Sebastião do Uatumã,12781
AM,13,04005,Silves,9081
AM,13,04062,Tabatinga,61028
AM,13,04104,Tapauá,18152
AM,13,04203,Tefé,62444
AM,13,04237,Tonantins,18478
AM,13,04260,Uarini,13121
AM,13,04302,Urucará,17163
AM,13,04401,Urucurituba,21140
RR,14,00050,Alto Alegre,16176
RR,14,00027,Amajari,11006
RR,14,00100,Boa Vista,320714
RR,14,00159,Bonfim,11739
RR,14,00175,Cantá,16149
RR,14,00209,Caracaraí,20261
RR,14,00233,Caroebe,9165
RR,14,00282,Iracema,10320
RR,14,00308,Mucajaí,16380
RR,14,00407,Normandia,10148
RR,14,00456,Pacaraima,11908
RR,14,00472,Rorainópolis,27288
RR,14,00506,São João da Baliza,7516
RR,14,00605,São Luiz,7407
RR,14,00704,Uiramutã,9488
PA,15,00107,Abaetetuba,150431
PA,15,00131,Abel Figueiredo,7126
PA,15,00206,Acará,54064
PA,15,00305,Afuá,37398
PA,15,00347,Água Azul do Norte,26305
PA,15,00404,Alenquer,54662
PA,15,00503,Almeirim,33372
PA,15,00602,Altamira,108382
PA,15,00701,Anajás,27540
PA,15,00800,Ananindeua,505404
PA,15,00859,Anapu,25414
PA,15,00909,Augusto Corrêa,43700
PA,15,00958,Aurora do Pará,29492
PA,15,01006,Aveiro,15953
PA,15,01105,Bagre,28292
PA,15,01204,Baião,43757
PA,15,01253,Bannach,3267
PA,15,01303,Barcarena,115779
PA,15,01402,Belém,1439561
PA,15,01451,Belterra,17036
PA,15,01501,Benevides,58637
PA,15,01576,Bom Jesus do Tocantins,16227
PA,15,01600,Bonito,15282
PA,15,01709,Bragança,121528
PA,15,01725,Brasil Novo,14984
PA,15,01758,Brejo Grande do Araguaia,7232
PA,15,01782,Breu Branco,61222
PA,15,01808,Breves,98231
PA,15,01907,Bujaru,27689
PA,15,02004,Cachoeira do Arari,22449
PA,15,01956,Cachoeira do Piriá,31300
PA,15,02103,Cametá,130868
PA,15,02152,Canaã dos Carajás,33632
PA,15,02202,Capanema,66353
PA,15,02301,Capitão Poço,52693
PA,15,02400,Castanhal,189784
PA,15,02509,Chaves,22566
PA,15,02608,Colares,11682
PA,15,02707,Conceição do Araguaia,46395
PA,15,02756,Concórdia do Pará,31352
PA,15,02764,Cumaru do Norte,12423
PA,15,02772,Curionópolis,17709
PA,15,02806,Curralinho,32248
PA,15,02855,Curuá,13562
PA,15,02905,Curuçá,37800
PA,15,02939,Dom Eliseu,56398
PA,15,02954,Eldorado dos Carajás,32664
PA,15,03002,Faro,7333
PA,15,03044,Floresta do Araguaia,19261
PA,15,03077,Garrafão do Norte,25326
PA,15,03093,Goianésia do Pará,37975
PA,15,03101,Gurupá,31623
PA,15,03200,Igarapé-Açu,37333
PA,15,03309,Igarapé-Miri,60343
PA,15,03408,Inhangapi,11053
PA,15,03457,Ipixuna do Pará,58558
PA,15,03507,Irituia,31654
PA,15,03606,Itaituba,98446
PA,15,03705,Itupiranga,51775
PA,15,03754,Jacareacanga,41487*
PA,15,03804,Jacundá,56006
PA,15,03903,Juruti,53989
PA,15,04000,Limoeiro do Ajuru,27368
PA,15,04059,Mãe do Rio,28959
PA,15,04109,Magalhães Barata,8279
PA,15,04208,Marabá,262085
PA,15,04307,Maracanã,28656
PA,15,04406,Marapanim,27368
PA,15,04422,Marituba,122916
PA,15,04455,Medicilândia,29887
PA,15,04505,Melgaço,26397
PA,15,04604,Mocajuba,29398
PA,15,04703,Moju,77385
PA,15,04752,Mojuí dos Campos,15446
PA,15,04802,Monte Alegre,56312
PA,15,04901,Muaná,37977
PA,15,04950,Nova Esperança do Piriá,20663
PA,15,04976,Nova Ipixuna,15836
PA,15,05007,Nova Timboteua,14635
PA,15,05031,Novo Progresso,25135
PA,15,05064,Novo Repartimento,70835
PA,15,05106,Óbidos,50459
PA,15,05205,Oeiras do Pará,30880
PA,15,05304,Oriximiná,69024
PA,15,05403,Ourém,17114
PA,15,05437,Ourilândia do Norte,30776
PA,15,05486,Pacajá,44778
PA,15,05494,Palestina do Pará,7424
PA,15,05502,Paragominas,107010
PA,15,05536,Parauapebas,189921
PA,15,05551,Pau D'Arco,5535
PA,15,05601,Peixe-Boi,7874
PA,15,05635,Piçarra,12675
PA,15,05650,Placas,28533
PA,15,05700,Ponta de Pedras,29160
PA,15,05809,Portel,58282
PA,15,05908,Porto de Moz,38471
PA,15,06005,Prainha,29200
PA,15,06104,Primavera,10485
PA,15,06112,Quatipuru,13044
PA,15,06138,Redenção,80797
PA,15,06161,Rio Maria,17738
PA,15,06187,Rondon do Pará,49977
PA,15,06195,Rurópolis,46804
PA,15,06203,Salinópolis,39078
PA,15,06302,Salvaterra,22370
PA,15,06351,Santa Bárbara do Pará,19645
PA,15,06401,Santa Cruz do Arari,9417
PA,15,06500,Santa Izabel do Pará,66490
PA,15,06559,Santa Luzia do Pará,19383
PA,15,06583,Santa Maria das Barreiras,19925
PA,15,06609,Santa Maria do Pará,23927
PA,15,06708,Santana do Araguaia,67033
PA,15,06807,Santarém,292520
PA,15,06906,Santarém Novo,6437
PA,15,07003,Santo Antônio do Tauá,29629
PA,15,07102,São Caetano de Odivelas,17420
PA,15,07151,São Domingos do Araguaia,24451
PA,15,07201,São Domingos do Capim,30847
PA,15,07300,São Félix do Xingu,116186
PA,15,07409,São Francisco do Pará,15380
PA,15,07458,São Geraldo do Araguaia,24607
PA,15,07466,São João da Ponta,5795
PA,15,07474,São João de Pirabas,21991
PA,15,07508,São João do Araguaia,13521
PA,15,07607,São Miguel do Guamá,55942
PA,15,07706,São Sebastião da Boa Vista,25161
PA,15,07755,Sapucaia,5587
PA,15,07805,Senador José Porfírio,11827
PA,15,07904,Soure,24286
PA,15,07953,Tailândia,97161
PA,15,07961,Terra Alta,11120
PA,15,07979,Terra Santa,17946
PA,15,08001,Tomé-Açu,60456
PA,15,08035,Tracuateua,29465
PA,15,08050,Trairão,18084
PA,15,08084,Tucumã,37308
PA,15,08100,Tucuruí,107189
PA,15,08126,Ulianópolis,53881
PA,15,08159,Uruará,44486
PA,15,08209,Vigia,51173
PA,15,08308,Viseu,59054
PA,15,08357,Vitória do Xingu,14407
PA,15,08407,Xinguara,42833
AP,16,00105,Amapá,8622
AP,16,00204,Calçoene,10163
AP,16,00212,Cutias,5407
AP,16,00238,Ferreira Gomes,6901
